Timestamp,Open,High,Low,Close,Volume
2022-02-17,251.4800,252.8800,250.0000,250.9300,2831886
2022-02-18,250.3400,252.2891,250.0100,250.6000,2813521
2022-02-22,250.0100,254.7000,249.6000,252.7000,3962458
2022-02-23,253.5300,253.8500,247.0800,247.7900,3497365
2022-02-24,242.9300,245.5800,239.6100,245.0300,4856005
2022-02-25,246.0000,249.5300,243.6288,249.4500,4549747
2022-02-28,244.4400,245.7199,242.3600,244.7700,4410429
2022-03-01,242.3000,243.5975,238.3000,239.6300,3910650
2022-03-02,240.8500,242.7400,239.6100,240.9400,4482140
2022-03-03,241.0100,242.3368,235.6800,236.6500,4707353
2022-03-04,234.6200,236.3940,231.6410,235.8100,4186494
2022-03-07,234.3100,234.3100,224.1900,224.3300,5425045
2022-03-08,224.3300,229.7369,222.2000,222.7900,5258764
2022-03-09,226.7900,227.2500,222.0100,222.4700,5630456
2022-03-10,220.2000,222.0500,217.6750,222.0000,5444938
2022-03-11,224.7400,229.1100,224.1950,226.8700,6126339
2022-03-14,226.7800,228.4400,223.1600,226.1800,4436285
2022-03-15,227.9800,234.5650,227.9800,232.5700,5087427
2022-03-16,234.8700,238.2100,234.3600,238.1400,4173223
2022-03-17,236.4400,237.4700,234.5400,237.4700,3752945
2022-03-18,237.2300,239.1900,235.9900,238.9200,5113235
2022-03-21,239.5800,240.0900,234.0700,235.3200,3678812
2022-03-22,237.0400,238.4400,236.4700,238.1200,2918574
2022-03-23,237.1300,238.0100,235.9500,236.1200,2200593
2022-03-24,237.5600,241.0400,236.4700,240.2600,2337661
2022-03-25,240.5400,241.8500,239.4300,241.5800,2132040
2022-03-28,241.9100,242.9500,239.8600,242.9400,2041783
2022-03-29,246.3500,248.6500,244.7700,248.1700,2657596
2022-03-30,247.5100,250.5000,247.5100,249.0300,2227261
2022-03-31,249.7200,251.3500,247.2800,247.2800,3803454
2022-04-01,248.1200,249.4300,246.1800,249.2500,2023154
2022-04-04,246.7900,247.2650,242.3800,246.8300,2501545
2022-04-05,246.1000,249.7390,245.4300,248.5100,2523565
2022-04-06,247.6400,252.3800,245.9800,251.4600,2885998
2022-04-07,250.7900,255.4750,249.5400,254.3600,4041798
