Timestamp,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_100,EMA_10,EMA_50,EMA_100,RSI_10,RSI_50,RSI_100,VWAP,MACD,MACD_Hist,MACD_Signal
2022-08-10 19:15:00,106.5210,106.5650,106.3140,106.3630,1240,106.8222,106.0862,105.9036,106.7542,106.3531,106.1241,39.5344,51.5905,51.6462,106.6710,0.1219,-0.0884,0.2104
2022-08-10 19:30:00,106.6280,106.6720,106.5960,106.6440,188,106.8027,106.1174,105.9148,106.7342,106.3645,106.1344,47.9955,53.2223,52.4780,106.6710,0.1036,-0.0854,0.1890
2022-08-11 08:00:00,107.1810,107.2260,107.1490,107.1980,199,106.8265,106.1590,105.9315,106.8185,106.3972,106.1554,60.1967,56.1930,54.0520,107.1910,0.1322,-0.0455,0.1776
2022-08-11 09:00:00,107.2000,107.2450,107.1680,107.2170,100,106.8425,106.2008,105.9476,106.8910,106.4294,106.1764,60.5494,56.2902,54.1046,107.1974,0.1546,-0.0184,0.1730
2022-08-11 09:15:00,107.5310,107.5850,107.4980,107.5570,1100,106.8910,106.2518,105.9661,107.0121,106.4736,106.2038,66.4590,57.9912,55.0361,107.4720,0.1976,0.0196,0.1779
2022-08-11 09:30:00,107.6280,107.9450,107.4690,107.8780,127570,107.0328,106.3138,105.9867,107.1695,106.5286,106.2369,71.0138,59.5093,55.8898,107.7608,0.2545,0.0613,0.1933
2022-08-11 09:45:00,107.8410,108.1780,107.7600,108.1010,53440,107.1464,106.3860,106.0068,107.3389,106.5903,106.2738,73.7640,60.5206,56.4698,107.8347,0.3141,0.0967,0.2174
2022-08-11 10:00:00,108.0990,108.3820,107.9740,108.3340,50239,107.2969,106.4588,106.0291,107.5198,106.6587,106.3146,76.3671,61.5447,57.0656,107.9201,0.3758,0.1267,0.2491
2022-08-11 10:15:00,108.3270,108.7800,108.2940,108.6350,71393,107.4688,106.5361,106.0544,107.7226,106.7362,106.3606,79.3132,62.8161,57.8190,108.0726,0.4438,0.1558,0.2880
2022-08-11 10:30:00,108.6180,108.9270,108.5860,108.7180,81868,107.6645,106.6213,106.0806,107.9036,106.8139,106.4073,80.0743,63.1588,58.0241,108.2150,0.4987,0.1685,0.3302
2022-08-11 10:45:00,108.7060,108.8870,108.6340,108.7710,101579,107.9053,106.7029,106.1069,108.0613,106.8907,106.4541,80.5812,63.3788,58.1554,108.3294,0.5402,0.1680,0.3722
2022-08-11 11:00:00,108.7690,108.8630,108.4200,108.6110,75639,108.1020,106.7806,106.1325,108.1612,106.9581,106.4968,74.2459,62.2343,57.6061,108.3699,0.5538,0.1453,0.4085
2022-08-11 11:15:00,108.5940,108.8090,108.5180,108.6840,84465,108.2506,106.8612,106.1580,108.2563,107.0258,106.5401,75.2330,62.5491,57.7898,108.4091,0.5640,0.1244,0.4396
2022-08-11 11:30:00,108.6760,108.8340,108.4500,108.6260,73097,108.3915,106.9382,106.1816,108.3235,107.0886,106.5814,72.7707,62.1292,57.5895,108.4322,0.5609,0.0971,0.4639
2022-08-11 11:45:00,108.6080,108.8190,108.4880,108.6890,65412,108.5047,107.0181,106.2040,108.3900,107.1513,106.6231,73.8054,62.4089,57.7502,108.4516,0.5571,0.0746,0.4825
2022-08-11 12:00:00,108.6760,108.7220,108.3330,108.3880,60063,108.5557,107.0889,106.2214,108.3896,107.1998,106.6581,61.4163,60.2396,56.7131,108.4537,0.5238,0.0330,0.4908
2022-08-11 12:15:00,108.3710,108.5660,108.2850,108.5090,64601,108.5965,107.1631,106.2394,108.4113,107.2512,106.6947,64.1074,60.7986,57.0265,108.4537,0.5014,0.0085,0.4929
2022-08-11 12:30:00,108.4820,108.6340,108.4300,108.5380,42876,108.6169,107.2379,106.2595,108.4343,107.3016,106.7312,64.7619,60.9329,57.1017,108.4573,0.4804,-0.0100,0.4904
2022-08-11 12:45:00,108.5310,108.6150,108.4300,108.5290,45969,108.6063,107.2831,106.2835,108.4516,107.3498,106.7668,64.3572,60.8668,57.0704,108.4604,0.4578,-0.0261,0.4839
2022-08-11 13:00:00,108.5210,108.7320,108.4250,108.6640,47569,108.6009,107.3282,106.3085,108.4902,107.4013,106.8044,67.7191,61.5054,57.4239,108.4670,0.4456,-0.0306,0.4762
2022-08-11 13:15:00,108.6520,108.8190,108.5270,108.5770,45210,108.5815,107.3702,106.3348,108.5060,107.4474,106.8395,63.4348,60.8524,57.1177,108.4742,0.4241,-0.0417,0.4658
2022-08-11 13:30:00,108.5700,108.7320,108.5080,108.6740,67409,108.5878,107.4158,106.3641,108.5365,107.4955,106.8758,66.0923,61.3197,57.3737,108.4837,0.4101,-0.0446,0.4547
2022-08-11 13:45:00,108.6380,108.7020,108.4110,108.5240,77715,108.5718,107.4581,106.3932,108.5342,107.5358,106.9085,58.7551,60.1862,56.8436,108.4876,0.3825,-0.0577,0.4402
2022-08-11 14:00:00,108.5020,108.5570,107.9400,107.9900,75669,108.5082,107.4880,106.4168,108.4353,107.5536,106.9299,40.8269,56.3991,55.0159,108.4689,0.3139,-0.1010,0.4150
2022-08-11 14:15:00,107.9680,108.0520,107.7990,107.9070,40675,108.4300,107.5131,106.4400,108.3392,107.5675,106.9492,38.7832,55.8419,54.7395,108.4524,0.2500,-0.1320,0.3820
2022-08-11 14:30:00,107.8950,107.9400,107.6440,107.7520,55147,108.3664,107.5246,106.4612,108.2325,107.5747,106.9651,35.1338,54.8098,54.2258,108.4260,0.1847,-0.1578,0.3425
2022-08-11 14:45:00,107.7440,107.7990,107.5370,107.7220,55732,108.2877,107.5403,106.4818,108.1397,107.5805,106.9801,34.4369,54.6105,54.1264,108.3979,0.1291,-0.1708,0.2998
2022-08-11 15:00:00,107.7050,107.7700,107.4010,107.5280,53516,108.1867,107.5502,106.4988,108.0284,107.5785,106.9910,30.1414,53.3307,53.4865,108.3685,0.0685,-0.1851,0.2536
2022-08-11 15:15:00,107.5020,107.5950,107.2990,107.4410,48407,108.0779,107.5576,106.5169,107.9216,107.5731,106.9999,28.3776,52.7649,53.2016,108.3400,0.0133,-0.1922,0.2055
2022-08-11 15:30:00,107.4340,107.5170,107.1680,107.2470,95586,107.9362,107.5665,106.5319,107.7990,107.5603,107.0048,24.7842,51.5210,52.5708,108.2808,-0.0455,-0.2008,0.1553
2022-08-11 15:45:00,107.2390,107.4880,107.1590,107.3340,310265,107.8119,107.5789,106.5468,107.7144,107.5514,107.0113,29.2483,52.0384,52.8242,108.1308,-0.0842,-0.1916,0.1074
2022-08-11 16:00:00,107.3170,107.3620,107.2560,107.3050,554129,107.6750,107.5909,106.5614,107.6400,107.5417,107.0171,28.6192,51.8502,52.7294,107.9503,-0.1158,-0.1786,0.0628
2022-08-11 16:15:00,107.2880,107.3330,107.2560,107.3050,324,107.5531,107.6013,106.5763,107.5791,107.5325,107.0228,28.6192,51.8502,52.7294,107.9502,-0.1393,-0.1616,0.0224
2022-08-11 16:30:00,107.2880,107.3330,107.2560,107.3050,1291,107.4846,107.6141,106.5903,107.5293,107.5235,107.0284,28.6192,51.8502,52.7294,107.9498,-0.1560,-0.1427,-0.0133
2022-08-12 08:45:00,107.9290,107.9740,107.8960,107.9460,100,107.4885,107.6390,106.6090,107.6050,107.5401,107.0466,56.7954,55.6198,54.5867,107.9387,-0.1163,-0.0824,-0.0339
2022-08-12 09:15:00,107.9190,107.9930,107.8870,107.9650,680,107.5098,107.6642,106.6299,107.6705,107.5568,107.0648,57.3499,55.7247,54.6401,107.9471,-0.0823,-0.0387,-0.0436
2022-08-12 09:30:00,107.6470,107.9350,107.4590,107.7520,72439,107.5128,107.6858,106.6488,107.6853,107.5644,107.0784,49.4457,54.2584,53.9226,107.7178,-0.0717,-0.0225,-0.0492
2022-08-12 09:45:00,107.7910,107.8960,107.3530,107.7220,52586,107.5322,107.7034,106.6675,107.6920,107.5706,107.0911,48.4018,54.0540,53.8221,107.6924,-0.0650,-0.0126,-0.0524
2022-08-12 10:00:00,107.6670,107.7120,107.2020,107.5280,56784,107.5409,107.7153,106.6861,107.6622,107.5689,107.0998,42.0263,52.7428,53.1744,107.6265,-0.0745,-0.0177,-0.0568
2022-08-12 10:15:00,107.5310,107.8570,107.4590,107.6840,30701,107.5846,107.7302,106.7173,107.6661,107.5734,107.1113,48.1307,53.6650,53.6276,107.6323,-0.0686,-0.0095,-0.0592
2022-08-12 10:30:00,107.6760,107.8570,107.4300,107.4890,56414,107.6001,107.7442,106.7370,107.6339,107.5701,107.1188,41.9899,52.3617,52.9801,107.6239,-0.0788,-0.0157,-0.0631
2022-08-12 10:45:00,107.4720,107.5660,107.2650,107.4120,43621,107.6108,107.7557,106.7618,107.5936,107.5639,107.1246,39.7640,51.8542,52.7262,107.5947,-0.0920,-0.0231,-0.0689
2022-08-12 11:00:00,107.3910,107.7120,107.3140,107.5280,45116,107.6331,107.7670,106.7869,107.5817,107.5625,107.1326,44.6733,52.5610,53.0685,107.5851,-0.0921,-0.0186,-0.0735
2022-08-12 11:15:00,107.5110,107.7120,107.4400,107.5720,23582,107.6598,107.7773,106.8145,107.5799,107.5629,107.1413,46.5106,52.8290,53.1983,107.5844,-0.0876,-0.0112,-0.0763
2022-08-12 11:30:00,107.5690,107.7890,107.4890,107.5480,27924,107.6200,107.7868,106.8407,107.5741,107.5623,107.1494,45.5930,52.6634,53.1174,107.5861,-0.0849,-0.0069,-0.0781
2022-08-12 11:45:00,107.5210,107.7990,107.4790,107.6160,22834,107.5851,107.8100,106.8688,107.5817,107.5644,107.1586,48.7746,53.0885,53.3207,107.5885,-0.0765,0.0012,-0.0777
2022-08-12 12:00:00,107.5880,107.7500,107.5470,107.6640,27727,107.5763,107.8239,106.8951,107.5967,107.5683,107.1686,51.0211,53.3900,53.4646,107.5924,-0.0652,0.0101,-0.0752
2022-08-12 12:15:00,107.6670,107.7260,107.5370,107.6930,35059,107.5734,107.8412,106.9202,107.6142,107.5732,107.1790,52.4217,53.5740,53.5519,107.5966,-0.0533,0.0176,-0.0708
2022-08-12 12:30:00,107.6710,107.8090,107.6390,107.7320,31515,107.5938,107.8575,106.9453,107.6356,107.5794,107.1899,54.3715,53.8241,53.6701,107.6044,-0.0402,0.0245,-0.0647
